sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,right ear wenli variance998,face wenli variance559,right ear wenli mean928,face wenli variance1454,face wenli variance935,face wenli variance863
30,-0.006421766834970689,0.00023007294099423536,0.0008382622525123354,-0.0010421494676413616,0.0012219993840430592,0.001463889859854751,0.006879843409796879,0.0013786662655309377,-0.004744043969388649,0.0004953932204887681,0.009516513260025072,-0.0029143746908952164,0.002878556840874178,0.04370881502737386,-0.005620303428818513,0.0033334495616413507,-0.010432806049575494
31,-0.0003490990321412507,-0.0004336449407562138,6.74819174102137e-05,0.010342340114558953,-0.004994637294928912,-0.029172873035629952,-0.041729732139819314,0.0015091354859772313,-0.005525270372419012,0.0003824271059876115,0.007166792970181359,-0.007104598148433695,-0.010367602856568372,-0.01601038766184666,0.03177974891485923,0.014329828370794658,0.0715321112161303
32,-0.009265425362304961,-0.054318664617594256,-0.004121877626308081,0.10044917915697732,-0.08020230994700764,-0.016599755423002488,-0.024462143323055668,0.0015615475871908965,-0.03184013329173318,0.00026956541248275887,0.0010611471832694026,0.007743438713676411,-0.008393474180408547,0.07077046841478735,0.03213710670368174,0.019699119236379653,0.053559460963701226
33,-0.0018405122162405438,0.00019970230270334124,0.0008029926124999508,-0.0009076498064306208,0.001123965157787733,0.0014406337698751944,-0.01297069922337391,0.001564625345916796,-0.014772361113238774,0.0003023884123208702,0.003998486450088727,-0.00934171807496742,0.009894634527905056,-0.003978556254061719,-0.005483951495314954,0.001642952630727314,-0.002153565701867156
34,-0.005005919059511548,3.1725373504544444e-05,0.0006079198001842589,-0.00016374578136333647,0.0005817477659429561,0.001312006687937701,-0.007678046993161399,0.0013632356690000786,-0.003945527756623196,7.008650254403523e-05,-0.002282462726439605,-0.0045517226669628775,0.0032776476689250623,0.0030386877432164445,0.007549482030427445,-0.005110145538515605,-0.027148903166207536
35,-0.007529894363741137,0.00018519946981162159,0.0007861503686738115,-0.0008434224401221186,0.0010771510609804125,0.0014295283336490012,-0.007918950915190395,0.0014889205168135428,-0.005771195166151049,0.0001043713963303976,0.0004448147200635362,-0.004613237738805555,0.008276945751607518,-0.0035519845461736105,0.003176031499075749,-0.006234674171787968,0.0003639188036496545
36,-0.006823023723323567,0.0004130645677750471,0.0010507717407892058,-0.001852547707239798,0.0018126831349354127,0.0016040143345911263,-0.02094500551941391,0.0017510965520703965,-0.008490927736980394,-0.00015662888393055515,-0.0007445281043165746,-0.019339553288546127,-0.0019303353123946545,-0.040469396021067076,-0.006247094650818728,0.012762303609263498,0.019251619945909883
37,0.0038053773487639417,-0.00043739861515171784,6.312274841991869e-05,0.0019138206146981076,-0.0009325505772538039,0.0009527784890680851,0.006104511330012898,0.0015981763416787118,-0.005638222879438397,-1.3200554282719568e-06,-0.0050830351246358,-0.016502988619375315,0.009088836634626866,-0.049926741709480305,-0.003290119325355938,-0.007304383886178794,-0.019206786830542055
38,-0.0042551204039578934,-0.00021226346220320393,0.00032457381581509894,0.0009167852047679096,-0.00020583056858018052,0.0011251740549558676,0.006366027352322449,0.001614093206678432,-0.006122110054524472,-7.735594423670706e-05,-0.002930279275424287,-0.003056055680830698,0.005792529184619305,-0.025416433223298177,-0.003953640034978885,-0.007701450649969281,0.009247355432682153
39,-0.002713965108242474,-0.00017498265059331364,0.0003678682896505266,0.0007516830925513521,-8.549080208136558e-05,0.0011537215586667285,0.0064093325822388095,0.002023886099409086,-0.009359626927420532,-0.005053956207071968,-0.030505300963932204,0.05914157169303027,0.005040044951576923,-0.03271694313901707,-0.004134142825179629,-0.0005364697929138272,-0.006286618524837423
