sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,face wenli variance455,face wenli variance1007,left ear wenli variance894,left ear wenli mean217,right ear wenli mean200
59,0.07407480606047875,-0.002931931940884433,-0.0016132833540908297,0.007096124704434727,9.543350452914132e-05,0.0012849864454400897,-0.008561178355742596,0.000719192866561247,0.004890876828020638,0.0010025998701632566,0.0007196212860228054,8.878172041211557e-05,0.05278876579736791,-0.010988986702249317,0.013912015880674845,0.02178523335752249
60,-0.016611406635251687,0.0010075705518141794,0.0033981882221509577,-0.002496718630872501,-5.9313111526582206e-05,0.0031207466949922952,-0.010626765840717669,0.000931248302996164,0.005687923722417769,0.0031064424196842605,0.004538635435725118,-0.008785548411548856,0.007424048023483539,-0.017185828819150088,0.01182139582724851,0.02164867035608346
61,-0.025789296860889453,0.00028022449850620775,0.002472925684812742,-0.0007256024168660371,-3.074241239401399e-05,0.0027818122800995155,0.009901986620039037,0.0007701826942224268,-0.011143866510676502,-0.00040298459180121177,-0.0007775561278566206,0.004393160797892841,-0.0017738229286574658,0.08908881370987712,0.00705979828238661,-0.013855654722057933
62,-0.010393335870647705,0.0010609669882673434,0.0034661142417571358,-0.0026267410513451956,-6.141056364544137e-05,0.0031456287849745035,0.020914266238998735,0.0009561351785520969,0.006004891414984716,0.007033010626333383,-0.013851604039256043,-0.039152959611528364,0.04022662195129421,-0.029298565548135747,0.004742872635783259,0.027567694493706184
63,-0.027167387490239683,0.0011160952010379089,0.003536243267404597,-0.002760980415184577,-6.357604123842575e-05,0.003171317861658838,0.0019091664120415035,0.0009911206037254807,0.006365522468843089,0.007246955023530841,-0.015509674169824841,0.0064336948490158604,-0.007830244707311336,0.00029790433642331335,0.0010774991571473199,0.020330997248552935
64,-0.013132371860939308,0.000811591198561754,0.0031488813718126055,-0.0020195012065429823,-5.161489537141802e-05,0.0030294226998684075,-0.010524008576280854,0.0007578828472253062,0.004980326831264798,-0.004680529085846475,0.005001791038579881,0.001714869811045803,0.02679144746282133,-0.017750723268335176,0.0127004805768749,0.019518698592836115
65,-0.013842274735196924,8.482240402624954e-05,0.0022243531698214842,-0.0002497906403254137,-2.3066871396891557e-05,0.0026907572805430027,0.010371128769897833,0.0008224593667994308,0.0051482837758833186,0.0035239194773238882,0.0030959865157864437,0.006679577041102236,0.011091507291136334,-0.014391350968756792,0.015481732687815265,0.022240367240244877
66,0.003720841401485965,-0.003544114869085308,-0.002392045989683827,0.008586814184556833,0.00011948050963238618,0.0009997166462386668,-0.008240194323532755,0.0007421795071692766,0.0028820355500516954,0.0029949360776598396,-0.007714792301430122,0.0008533216614306895,-0.013316822217285923,-0.019509394659691776,0.010953793093586036,0.025115269623382088
67,0.010983389712765674,0.00039365584729590246,0.002617222580516677,-0.001001812207383709,-3.519808094921211e-05,0.0028346699090887463,0.0064610559550908235,0.0008308087984094372,0.00562084983075812,0.001342156833376177,0.002273346767692623,-0.002673070792651779,0.002781278372899316,-0.01093999585621378,0.005313864296804016,-0.0026910584388587983
68,0.06866318239679205,0.001426949050011196,0.0039316828518146186,-0.003517921749504005,-7.578661384389235e-05,-0.013800150475178697,0.013172210076909599,0.0007190212412370243,-0.006154483615175775,0.0012007587309897857,0.0046645222056870975,0.006573924536690124,-0.025312774642556397,0.03412808315031707,0.010410814359510651,-0.0034275395084924095
69,0.023201197975866752,2.8539673710751546e-05,0.002152755473479836,-0.00011273998090824668,-2.085604348782375e-05,0.0026645302127239184,0.004322373096444204,0.0008139056055724701,-0.003401514130060658,0.0012293070414478463,-0.0017880162439686078,0.005323863314032261,-0.016947753006177204,0.06535324871226102,0.0021426917017472167,-0.023497276663121736
70,-0.0001279123011615491,-0.0014169162925457245,0.0003139797643569071,0.003407002082482374,3.5922552248645074e-05,0.001990965312016362,-0.009355541950777703,0.0006080350676145277,0.004044232275099206,-0.0005584889181786395,0.0068867266315935614,0.003576755081981076,-0.01862075733345292,0.018506002144093314,0.0007011846010629763,-0.04553827105591455
71,0.013076733600331406,-0.0008073310288209497,0.0010894378908879814,0.0019226380174102936,1.197758535658796e-05,0.002275024631164596,0.01501881411322477,0.0008555622089984172,0.0055457728042981715,0.004517736543740337,0.0041239496052621095,0.005424713431880208,0.011102465834764891,0.007527553472807555,0.009965110491233796,0.02210471770369841
72,0.04295476315412553,0.0006008917466114288,0.0028808489701233598,-0.0015064397635966649,-4.33384626861899e-05,0.002931239317776452,0.0003313354267422071,0.000756080997958825,-0.00881571648710379,0.0016880951836326654,0.009714803212397281,0.008095800838880944,-0.02274482258562439,0.051425351147000205,0.00389603942952731,-0.07986422642264217
73,-0.008162142545705808,-0.0011193393953391705,0.0006925296357837712,0.00268239064730751,2.4233508278138037e-05,0.002129632526998289,-0.009511569549650094,0.0007033692684238966,0.004777308534187823,-0.0044558370894177465,0.007147251658199394,0.004032501566922403,-0.004352733529218231,-0.021830460967272508,0.01674606807732149,0.019564143471241423
74,0.0017335343572795123,-0.001130018682629804,0.0006789444318625347,0.0027083951314020504,2.4652998701909895e-05,0.0021246561090018466,-0.009505970111087263,0.0006996305483408634,0.004987077774905866,-0.004807820964241825,0.015451066136707789,0.007227529348075964,-0.0032970604930112617,-0.011336921690419947,0.00948842727836144,0.016015332363611596
75,-0.02155299783542945,-0.00040498166441169906,0.0016012696278123752,0.0009429015085511632,-3.826999798491418e-06,0.0024625145416251257,-0.009886126588650263,0.0006767202765891195,0.004484622461491171,0.0036975603774040823,0.001035347997852592,0.009251255046224325,-0.046407971127312285,-0.020330741190675027,0.01380197298857054,0.022847593027580014
76,-0.006828519277959552,-0.000373232431926034,0.001641658071902535,0.0008655908801619933,-5.0741334907860555e-06,0.0024773092978307627,-0.009902773568161383,0.0007892870400138259,0.00582174484717379,-0.0001860174323199559,-2.6274655784028287e-05,0.0064735546574986105,-0.020593295186573088,-0.015297181713821687,0.01021350384914867,0.022081424348937926
77,-0.016288811768389058,6.721601146601519e-05,0.0022019559417351207,-0.0002069183827641422,-2.237527907661899e-05,0.002682552915738058,-0.010133712574833809,0.000819048524100644,0.005673768518009077,0.0007329023019535879,0.003454124278459024,0.008730196104010044,-0.006058613487379417,-0.007220690810252025,-0.0022354353607486324,0.02141025601912299
78,-0.02351870301260777,0.0008364133257778185,0.0031804577917376384,-0.002079944061465422,-5.258992716721196e-05,0.003040989509265542,0.003587484619117006,0.000979822297610584,0.004133246733592328,0.006549704523402229,-0.009432776456205433,0.006723758997492746,-0.016933141614672596,-0.011050475213089805,0.01216506444299601,-0.03204913498735095
79,0.004046509040702335,-0.0007579754037750525,0.0011522235630645023,0.0018024551314598568,1.0038859344020862e-05,0.002298023752175177,0.017733179790601343,0.0008939628738167157,-0.00120669524339905,0.002382994646429435,-0.0043145031298901385,-0.003028447398401592,-0.01353964593773088,0.014037337116425061,0.0034892059144113695,0.02399924389088615
80,-0.009856639348953571,-0.0007357509410350864,0.0011804954739276148,0.0017483376915874368,9.16586575941461e-06,0.002308380081519123,-0.00971269532937988,0.001018554289971587,1.5334441822124248e-05,0.007154928705113097,-0.019124711360711748,-0.0072425416084756205,-0.005894235332952685,0.03371466039856836,-0.00025789060567422024,-0.049403597748819465
81,-0.04911848110635956,-0.0009718497789739436,0.0008801523169662417,0.00232324763724509,1.8440005398478393e-05,0.002198360894462658,0.06325555595317413,0.0006694190191658896,-0.007480662938988597,-0.0016839640751781456,0.0063609642393994085,0.006108093039963982,-0.03250888495856843,0.024250428795053878,0.0030012708783570467,-0.043830320073034036
