sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,face wenli variance951,left ear wenli variance246,left ear wenli mean214,right ear wenli mean1184
36,0.05714469955077729,0.0010442822058506509,0.00011761752416733524,0.030676579577964717,-0.02880500712019077,-0.0028467715208699033,-0.09277014403284604,0.08405451324300389,-0.009087387747565843,0.03963937680473981,-0.02654643764264403,0.005341087511223378,0.019808552909123697,-0.049671944642686656,0.012047509582494023
37,-0.055572625167610246,-0.001411742299102505,-0.00015887279795043734,0.005097196848252394,-0.011387019999951,-0.0015812344962332925,0.03765936683906338,0.07607261314258058,-0.003449764840099386,0.0223440603820712,-0.08489706897293137,0.048105061461017784,-0.016833809191386613,-0.05668818913354369,-0.037825865671515906
38,0.029911328290963157,-0.0007615819351170115,-8.568010459415259e-05,0.0118685872609027,-0.015997920592820174,-0.0019162482597016458,0.03892036558683676,0.07690341782179386,-0.004406040921616285,0.03081147829451395,-0.05594363814680861,0.04477860251112493,-0.0378246057695775,0.025729334722862936,-0.05207208167146607
39,0.013566922323368404,-0.0006539199119788303,-7.355990489854957e-05,0.012989882300814855,-0.016761453582241858,-0.00197172420310281,0.03912917818735854,0.09829317345488857,-0.010804143844073731,0.5850096979636957,-0.42681313701704715,-0.018535743676093154,-0.027182286845516247,0.013967269067380966,0.03956493460083749
40,0.05381253507584909,-0.0009448783772561582,-0.0001063149525884974,0.009959563211258201,-0.01469799257421666,-0.0018217995139568734,0.03856485855070816,0.08475576142684736,-0.006598012729531486,0.012591703564627387,-0.03558443383359944,0.06689174069816292,-0.004026314110773466,-0.011801663755794948,-0.0003148716846967825
41,-0.012841315010506525,-0.0016184435288803861,-0.00018214247196556534,0.002944413007322648,-0.009921106548864515,-0.001474725762792614,0.03725846575934309,0.09171893488234723,-0.008540237775207562,-0.03399944466497293,0.0035011733820089867,0.09986610223501811,-0.039722550010908284,0.018129160825386688,0.012055592541926627
42,-0.058072933277920416,-0.0016977734406664151,-0.00019107314542548344,0.0021181956094926306,-0.009358503293501163,-0.001433848751865441,0.037104603843169146,0.11099233289467428,-0.014379276613336715,0.011207923205395513,-0.09107935647236681,0.050047356284109536,0.00916865301730885,-0.023002942288288745,0.01131802249370225
43,0.03115967304111342,0.000719817939322082,8.109051501605564e-05,0.02729729910298918,-0.02650392486145311,-0.0026795820072329874,-0.019341694783003308,0.08431679503852658,-0.006329608018358201,0.03288908690109181,-0.043297896100018364,0.01132424857546018,-0.03263222420066461,0.022193111133025283,0.07603423719078083
44,0.0003800261203885301,0.0011820009036406815,0.0001331213951738389,0.03211091350773793,-0.029781700349222173,-0.0029177350274173877,-0.00292386379598342,0.08091091192210337,-0.008350960751080333,0.017365164383658416,-0.05606559011940014,0.008555920321857976,-0.012604487048574094,0.012624190106650305,0.07544216041234318
45,0.0007269811734154033,6.596208255152465e-05,7.481796498594556e-06,0.0204874203022412,-0.02186681604240241,-0.002342664035181069,-0.01764252405656068,0.08292318862541921,-0.010922160990946407,0.0030835432811657008,0.06464314986272629,0.03199740956606763,-0.03283101173291376,-0.005499524016981803,-0.027321049518928553
