sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,left ear wenli variance1088,left ear wenli variance262,left ear wenli mean904,face wenli variance535,left ear wenli variance872,left ear wenli variance848,face wenli variance1167
111,0.0037647009740195215,1.9344603555991718e-06,-2.395207061690005e-05,0.0007491611283707077,-0.0003814980128260242,-0.0008935338420033617,0.0014171555181875875,-0.01625707332963279,-0.00791563153519257,0.008705533421357917,-0.012213069669123802,-0.005381444333909646,-0.024660980668296178,-0.013382243071385613,-0.0012612813914657022,0.02057969848665362,-0.003803576891022981,0.0003915960758669907
112,-0.006859357190192821,-5.28957047976793e-06,-0.00014340479097450643,-0.0021017177555419492,0.002637473371580759,-0.0015635225640287186,-0.002126996979977113,-0.013972388908002762,0.004214786392048721,-0.13048086020672808,0.060472442606570406,0.0015361459091978499,-0.023797732091417695,0.020143533946770775,-0.015145614272881212,0.02846545559521171,-0.006727773560239652,0.023085164364032768
113,-0.0027412069068529477,-2.376247783629956e-06,-9.523164093346666e-05,-0.0009520091862233665,0.0014199760970503119,0.0011370615974212843,0.00930063841523511,-0.015315164858832692,0.0025031894292490125,0.008027053356372722,-0.0115117073483265,0.0035879888920868895,-0.0229843328182676,0.031470272940804914,-0.019886802988059057,0.0201097285328013,-0.004668421465961887,0.014400392900261898
114,0.0012631789768123665,-3.954935331332512e-07,-6.247894524682104e-05,-0.0001703277959231627,-0.02786936859012765,0.0031320592933895505,0.0023447413791361812,-0.015584924146234339,-0.00014267694264688189,-0.0032638347280421693,-0.009347476339368978,0.00040836773231186396,-0.01910947947770898,0.005219716239907565,-0.014455032270925976,0.025446639585331474,-0.00645327455383945,0.014299804027051725
115,0.003340624514189444,-1.105043722422295e-06,-7.421168867945946e-05,-0.00045034344062625875,0.000888731315295086,0.004918097146652857,0.013157627536298523,-0.015718798686251242,-0.008798014918477277,0.005633246836291415,-0.004128627854307477,-0.0034239019025272413,-0.008207920364959358,-0.0036369272792561467,-0.014913401026609655,0.01461457309265641,-0.003704627212179974,0.0012717487164559595
116,0.0009306095599018741,-2.8445861219696242e-06,-0.00010297583386915359,-0.00113683340828546,0.0016156978587496065,0.00854057577434248,0.010377930922204624,-0.01678548369059719,0.009151233585902521,0.0048413512114817885,-0.00560804411083498,0.004651892550110473,-0.017472450663852584,0.02557904471410164,-0.014830611956199792,0.020401872017628414,-0.005205533326375611,-0.0032798977963042907
117,0.010665457169544906,-1.9208210285527876e-06,-8.770094705114458e-05,-0.000772280368779527,0.0012296501733928525,-0.0012510897697785316,-0.0007051629535871078,-0.017601435045962267,-0.011371775761719691,0.009337036627244241,-0.010426568730396038,-6.555298808045175e-05,-0.007323095223780528,0.005673343252218625,-0.018027077772267364,0.021285182662875643,-0.006862991242518949,-0.00264043995946817
118,0.0064702948616034775,-2.0751731375544562e-06,-9.025323118909652e-05,-0.0008331936148977356,0.0012941549645293364,0.004997348392023635,-0.00054441997069014,-0.016681644430967257,0.01635162320908112,0.008133422387332319,-0.010977730046013514,0.002860585065294251,-0.02365469435049557,0.016918787082756154,-0.00954220767806909,0.0367185090415778,-0.007886317849280325,0.023607867258749877
119,-0.014317391624608374,-6.147016986427393e-06,-0.00015660291427342142,-0.0024400989440541265,-0.02680369057686521,0.0034215222898743057,0.0024405581257547094,-0.017944999326199397,0.030077777138392582,0.010492331812083028,-0.01544398239283291,0.003340046950572109,-0.013038280695266906,0.019598972487291373,-0.008173159147877146,0.041744223773313854,-0.007024419414676588,0.018810137252600563
120,-0.009052432096303542,-3.847581385406325e-06,-0.00011956082851462838,-0.0015326537034034,0.0020348563684539846,-0.001429786087465529,8.434232614129154e-05,-0.018070500831796094,0.010752746588784685,0.013822655573199786,-0.02188671449213508,0.0017108437257710419,-0.01546862025689032,0.015376733967173404,-0.006862668740658014,0.033238720250385226,-0.006982462312662049,0.0016812891288116617
