sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,face wenli variance951,left ear wenli variance246,left ear wenli mean214,right ear wenli mean1184
59,-0.18194879270103148,-0.002502617277987236,-0.00012186375431240806,-0.025906764958871117,0.014707095564777038,-0.0012128488426017853,0.027031245077979788,-0.037640334052583116,0.02019434335900396,-0.005785422884259217,-0.003621194448367984,-0.016666787226493854,-0.0036787874004932677,0.040140662887617314,-0.024725252563797217
60,0.04080233946049448,0.0008600347902348156,0.00025669140734728484,0.009115102317469901,-0.009140643045329563,-0.0029455517064060897,0.033553174562011186,-0.04873866085223699,0.02348533579751063,-0.017925479145083516,-0.022838792795927883,-0.04998718979504932,-0.001584047771116262,0.027742184432281432,0.07863003414591217
61,0.06334584831199233,0.000239192002344159,0.00018679918026966549,0.0026490531170611214,-0.0047376610468338,-0.002625644664367344,-0.03126474136654461,-0.040308984195940735,-0.04601282644743737,0.002325390565860491,0.003912727413957665,-0.0017646976355322138,0.01682734895232856,-0.05760118528319386,-0.011042317799306058
62,0.02552898906352468,0.0009056125345839307,0.0002618223843351259,0.00958979243734117,-0.009463877834901671,-0.002969036945603379,-0.06603514526166601,-0.05004116307800205,0.024794089757687265,-0.04058342897670822,0.06970242907233283,-0.025541065297516007,-0.0061531727965422195,0.08148476584955579,-0.025370878948475804
63,0.06673083086649487,0.0009526684760470726,0.00026711977138743756,0.010079877912451527,-0.009797595914946396,-0.0029932838682340942,-0.006028042289753794,-0.05187219221041583,0.026283128959372248,-0.04181797812072882,0.0780459765304749,-0.07674397537522569,0.01006999581600256,0.0776365346857638,-0.03510781395496658
64,0.032256840516707554,0.0006927521501642779,0.00023785933505137075,0.007372861282915315,-0.007954284006845986,-0.0028593545311900947,0.033228726608340045,-0.039665248181176116,0.020563680830074073,0.027008621175352573,-0.02516943049434505,-0.050400206510304545,0.02211805706725731,0.029159236049618495,-0.061565360917710886
65,0.034000563892786426,7.240209464496349e-05,0.00016802257799524163,0.0009119438675862311,-0.003554796438507764,-0.002539701383629157,-0.03274602068374714,-0.043044983828924265,0.021257172064554474,-0.02033449733349423,-0.015579262871933331,-0.009065047143014544,0.019028099112504134,0.05978970145557461,0.018821186194348336
66,-0.009139444796921144,-0.0030251599577952046,-0.00018068971210273758,-0.031349023035881836,0.0184129387468443,-0.0009435937488858412,0.026017763325790578,-0.03884338384834916,0.01189987348222669,-0.01728204065871799,0.03882147956830377,0.04969495256247113,-0.00026169090841668717,0.07438793662105493,-0.043530257683731394
67,-0.02697832912813876,0.0003360139133128202,0.0001976990394924846,0.0036574488852200997,-0.005424316572789683,-0.0026755349292567196,-0.02040027432292078,-0.04348196729964821,0.023208388892849416,-0.007744809359306049,-0.01143967091340728,0.05146980817667582,0.000474975558622556,-0.04130075250563674,0.012041603970258585
68,-0.16865630576078602,0.0012180048580146263,0.00029699037795989625,0.012843344177864324,-0.011679346554779696,0.013025426525661602,-0.04159021387152185,-0.03763135171302445,-0.02541175328934273,-0.006928882844969029,-0.023472265542445348,0.1190705981114065,0.014680386685631992,-0.10149135269961286,0.015790076407124893
69,-0.05698874132022652,2.4360688439138705e-05,0.00016261425089994963,0.0004115948223165037,-0.0032140894981479685,-0.0025149466720428256,-0.013647551964628477,-0.042597306376937996,-0.014044791291697343,-0.007093618602020449,0.00899744716006873,-0.016209120055535323,0.013679049631632537,-0.008178772313759023,0.1432356133357571
70,0.00031418899360941764,-0.001209441169400705,2.371731708855385e-05,-0.01243839501722601,0.005535963616322966,-0.00187919489961027,0.029539385444430136,-0.031822678067047735,0.016698563071352507,0.0032227159248581832,-0.03465458391813641,0.09129801466398095,0.01812025054002772,0.04366324906031524,0.0860805020029074
