feature,abs_r,r,p_value
left ear wenli mean565,0.04864548608983511,0.04864548608983511,0.541292687367964
left ear wenli mean165,0.0486418980228321,0.0486418980228321,0.5413225543779305
face wenli mean902,0.04864183245433684,-0.04864183245433684,0.5413231001765749
left ear wenli mean877,0.048634020641330246,0.048634020641330246,0.5413881284294781
face wenli mean1492,0.048630118192104735,-0.048630118192104735,0.5414206152234036
left ear wenli mean878,0.04861651868324923,-0.04861651868324923,0.5415338348491207
left ear wenli mean1469,0.04861620453351215,0.04861620453351215,0.5415364503698221
left ear wenli mean598,0.04861449389513583,-0.04861449389513583,0.5415506927644237
left ear wenli mean1069,0.04860064799925622,0.04860064799925622,0.5416659774295496
face wenli mean92,0.04859741946941464,-0.04859741946941464,0.5416928607844107
right ear wenli variance819,0.048596158165046,-0.048596158165046,0.5417033636055257
left ear wenli mean429,0.04859070744956211,0.04859070744956211,0.5417487526099805
right ear wenli mean1559,0.0485857352888248,-0.0485857352888248,0.5417901582498513
left ear wenli mean589,0.048585382791707155,0.048585382791707155,0.5417930937269422
left ear wenli variance1272,0.04858518401229087,0.04858518401229087,0.541794749098335
left ear wenli mean1402,0.04858399943338038,0.04858399943338038,0.5418046139444113
left ear wenli mean901,0.04857090573751293,0.04857090573751293,0.5419136605417965
face wenli mean34,0.04856988024046138,-0.04856988024046138,0.5419222015192047
left ear wenli mean677,0.04856958752545097,0.04856958752545097,0.541924639444113
left ear wenli mean1461,0.04856455835396635,0.04856455835396635,0.5419665265690393
face wenli mean1504,0.04855321858670299,0.04855321858670299,0.5420609794567829
left ear wenli mean61,0.04853781154750061,0.04853781154750061,0.5421893231052721
face wenli mean26,0.04852926087165965,-0.04852926087165965,0.5422605583830786
left ear wenli mean757,0.04852731347527764,0.04852731347527764,0.5422767826969003
left ear wenli mean1141,0.048525717371772845,0.048525717371772845,0.5422900804685025
left ear wenli mean613,0.04852521057008587,0.04852521057008587,0.5422943028681323
left ear wenli mean1149,0.04851487674416801,0.04851487674416801,0.5423804022998473
left ear wenli mean53,0.04850599347645211,0.04850599347645211,0.5424544213574424
left ear wenli mean146,0.048500632435912294,0.048500632435912294,0.542499094175867
left ear wenli variance646,0.048481636429920524,-0.048481636429920524,0.542657399918052
left ear wenli mean227,0.04846694546071374,-0.04846694546071374,0.542779844698032
left ear wenli mean154,0.04846649260331996,0.04846649260331996,0.5427836193439061
left ear wenli mean1414,0.04846574624866933,-0.04846574624866933,0.5427898403692093
left ear wenli mean1629,0.04846424313610541,0.04846424313610541,0.5428023692400211
left ear wenli mean573,0.04846395385745583,0.04846395385745583,0.5428047804762317
left ear wenli mean597,0.04845955030229001,0.04845955030229001,0.5428414862631676
left ear wenli mean501,0.04845863941336644,0.04845863941336644,0.5428490791209222
right ear wenli variance103,0.04845838552807906,-0.04845838552807906,0.5428511954309676
left ear wenli mean93,0.04845745943693384,0.04845745943693384,0.5428589150778066
face wenli mean423,0.04845653209708886,-0.04845653209708886,0.5428666451877495
face wenli mean1540,0.04844879648196879,-0.04844879648196879,0.5429311297649533
left ear wenli mean1426,0.048443326068403375,0.048443326068403375,0.5429767337598688
left ear wenli mean1584,0.048430385260019304,-0.048430385260019304,0.5430846220766586
left ear wenli mean181,0.0484284516515922,0.0484284516515922,0.543100743597266
left ear wenli mean1133,0.04842760057754567,0.04842760057754567,0.5431078395285084
left ear wenli mean1501,0.04841858661980774,0.04841858661980774,0.5431829972819273
left ear guangpu mean158,0.048417352246153234,0.048417352246153234,0.5431932898030182
face wenli mean1532,0.04841634288855879,-0.04841634288855879,0.5432017061545257
left ear wenli mean1005,0.048410736602141666,0.048410736602141666,0.543248454362495
right ear wenli mean1232,0.04840622090937571,-0.04840622090937571,0.5432861100612011
left ear wenli mean1173,0.04840394546590444,0.04840394546590444,0.5433050851377736
left ear wenli mean779,0.0484012245236221,-0.0484012245236221,0.5433277756880116
face wenli mean1461,0.04840111379911892,-0.04840111379911892,0.543328699054464
left ear wenli mean1125,0.04839798283243138,0.04839798283243138,0.5433548094905991
left ear wenli mean885,0.048387076159915346,0.048387076159915346,0.5434457696095756
left ear wenli mean701,0.04838169857704781,0.04838169857704781,0.5434906206594355
right ear wenli variance1536,0.04838166387325818,0.04838166387325818,0.5434909101079307
left ear wenli mean733,0.04838004664172252,0.04838004664172252,0.5435043987834778
left ear wenli mean1447,0.048377954602274585,-0.048377954602274585,0.5435218478850071
left ear guangpu mean42,0.048376033706497276,0.048376033706497276,0.54353786976941
left ear wenli mean445,0.048375175603877635,0.048375175603877635,0.5435450271413217
left ear wenli mean1349,0.048373583724859205,0.048373583724859205,0.5435583050121616
left ear wenli mean1389,0.04837117798666028,0.04837117798666028,0.5435783715898675
left ear wenli mean941,0.04836814359056956,0.04836814359056956,0.5436036824061888
left ear wenli mean1605,0.04836782437628406,0.04836782437628406,0.5436063451029419
left ear wenli mean1037,0.04836676583543287,0.04836676583543287,0.5436151748705889
right ear wenli mean174,0.04836115246051956,0.04836115246051956,0.5436619997490326
left ear wenli mean605,0.04836052091799262,0.04836052091799262,0.5436672679879787
left ear wenli mean965,0.04836041032620859,0.04836041032620859,0.5436681905316797
right ear guangpu variance142,0.04835994506974329,0.04835994506974329,0.5436720716550233
left ear wenli mean1450,0.04835788221155743,0.04835788221155743,0.5436892799781519
left ear wenli mean925,0.048355750223676684,0.048355750223676684,0.5437070652619233
left ear wenli variance966,0.04835431287999617,-0.04835431287999617,0.5437190559071
left ear wenli mean45,0.04835324501983382,0.04835324501983382,0.5437279643218013
left ear wenli mean1613,0.048352985802252293,0.048352985802252293,0.543730126804663
left ear wenli mean1541,0.04834749395413435,0.04834749395413435,0.543775942700151
left ear wenli mean1458,0.04833453970499015,0.04833453970499015,0.5438840214186986
left ear wenli mean1442,0.04833363113920003,0.04833363113920003,0.543891602079679
left ear wenli mean317,0.048332128459636414,0.048332128459636414,0.5439041398708327
left ear wenli mean1434,0.04832834769142155,0.04832834769142155,0.5439356858037184
left ear wenli mean1573,0.04832489949848029,0.04832489949848029,0.5439644575845082
left ear wenli mean101,0.04832228695071129,0.04832228695071129,0.5439862572268815
left ear wenli mean1581,0.0483096959336264,0.0483096959336264,0.5440913253286015
left ear wenli mean1621,0.04830697431359248,0.04830697431359248,0.5441140377106506
left ear wenli mean1565,0.04829388840464052,0.04829388840464052,0.5442232483657636
right ear wenli variance447,0.048283807238839946,-0.048283807238839946,0.544307389791187
face wenli mean124,0.04827729200931495,-0.04827729200931495,0.5443617718990569
left ear wenli mean1045,0.048271644064228916,0.048271644064228916,0.5444089170163441
left ear wenli variance128,0.04825921772799813,0.04825921772799813,0.5445126505036961
left ear wenli mean1093,0.04825362181430368,0.04825362181430368,0.544559367662033
left ear wenli mean1589,0.04825151274450548,0.04825151274450548,0.5445769756197696
left ear wenli mean461,0.04824521719599399,0.04824521719599399,0.5446295368326801
face wenli mean565,0.048245033109298445,-0.048245033109298445,0.5446310738006617
left ear wenli mean109,0.048241734169824545,0.048241734169824545,0.5446586175128428
left ear wenli mean77,0.04823529505285383,0.04823529505285383,0.5447123813663398
left ear wenli mean69,0.04823084566557249,0.04823084566557249,0.5447495333593897
left ear wenli mean1597,0.04822864228791485,0.04822864228791485,0.544767931830876
left ear wenli variance608,0.048219088161355214,-0.048219088161355214,0.5448477134866335
face wenli variance1243,0.04821633360791382,-0.04821633360791382,0.544870716430037
left ear wenli mean1413,0.04821619224655952,0.04821619224655952,0.5448718969345351
left ear wenli mean85,0.04821409272998965,0.04821409272998965,0.5448894300835725
right ear wenli mean640,0.04820542203336686,0.04820542203336686,0.544961842366516
left ear wenli mean1266,0.04820134863388527,0.04820134863388527,0.5449958625077367
left ear wenli mean621,0.04819599901843355,0.04819599901843355,0.54504054291208
left ear wenli mean1509,0.04819461732230476,0.04819461732230476,0.5450520832383255
left ear wenli mean1373,0.04818691048283729,0.04818691048283729,0.5451164551979677
left ear wenli mean1109,0.04818126136916332,0.04818126136916332,0.5451636422215052
face wenli variance206,0.04818122813564134,-0.04818122813564134,0.5451639198269213
