feature,abs_r,r,p_value,fdr_significant,mutual_info,selected_final
left ear wenli variance248,0.1253458274852755,0.1253458274852755,0.11426337188349232,False,0.029812817268662695,False
right ear wenli mean568,0.08945065669479707,0.08945065669479707,0.2606499584338519,False,0.02979329430796329,False
face wenli variance472,0.08824011629655253,0.08824011629655253,0.2671828970927034,False,0.02965935961520505,False
right ear wenli mean1136,0.08328727010484713,0.08328727010484713,0.2950672721210932,False,0.029339783358128813,False
face wenli variance432,0.11065227730430942,0.11065227730430942,0.16363189508654769,False,0.02914405639310047,False
left ear wenli variance206,0.11626436663236563,-0.11626436663236563,0.1431721425380895,False,0.029068726290196745,False
face wenli variance879,0.09166126267893517,0.09166126267893517,0.2490043108395797,False,0.02900735536945076,False
face wenli variance519,0.09888087275130295,0.09888087275130295,0.21349980619264575,False,0.028947606090951705,False
right ear wenli variance352,0.10779070115072262,0.10779070115072262,0.17486943709071542,False,0.028318926661720756,False
right ear wenli variance247,0.11363608763113871,-0.11363608763113871,0.1524978451107897,False,0.028114489554710076,False
right ear wenli variance1215,0.08530200252361783,-0.08530200252361783,0.2834997789372419,False,0.027883409870505194,False
right ear wenli variance1008,0.10171465994001798,-0.10171465994001798,0.20060348197653527,False,0.027229079009372992,False
face wenli variance744,0.19125468118426042,0.19125468118426042,0.015408177897623826,False,0.027154902266997683,False
left ear wenli variance480,0.1202301835976467,0.1202301835976467,0.12992961760973035,False,0.026926432819778245,False
left ear wenli variance685,0.07756477892108868,-0.07756477892108868,0.32960868256599485,False,0.02654251183020717,False
left ear wenli variance1208,0.10685975380581189,0.10685975380581189,0.17864557696949698,False,0.026508387323607607,False
right ear wenli variance302,0.104873537459504,0.104873537459504,0.18690235664429228,False,0.026110079034674438,False
left ear wenli variance462,0.10484082670474472,-0.10484082670474472,0.1870406346234613,False,0.025892111238581483,False
face wenli variance520,0.15377574581465553,0.15377574581465553,0.0522050839939894,False,0.025495901545496746,False
left ear wenli mean1288,0.10785635230889497,-0.10785635230889497,0.17460538525638902,False,0.02510832037666577,False
right ear wenli variance1375,0.15184257130365852,-0.15184257130365852,0.05527055876329358,False,0.02490789580124142,False
face wenli mean1507,0.14918698460962074,0.14918698460962074,0.05972240913343072,False,0.02421568870278401,False
right ear wenli variance392,0.08141019716091842,0.08141019716091842,0.3061224024373157,False,0.02405244916454463,False
face wenli variance864,0.18994864167815217,0.18994864167815217,0.01613764817662186,False,0.023964828451923825,False
left ear wenli variance240,0.15732098876597855,0.15732098876597855,0.04694930949362901,False,0.023592874017469345,False
face wenli variance1016,0.08632292911408612,0.08632292911408612,0.2777558957429763,False,0.023547772194842498,False
right ear wenli mean1576,0.11654534438777706,-0.11654534438777706,0.14220139446080166,False,0.022183762295857612,False
face wenli variance632,0.18859887720869284,0.18859887720869284,0.016922952159249244,False,0.022167996811342183,False
face wenli variance448,0.08424142552216649,0.08424142552216649,0.2895505584311603,False,0.021943724555819832,False
right ear wenli variance1271,0.09459648068355006,-0.09459648068355006,0.23410549709674316,False,0.02100247830207369,False
right ear wenli mean352,0.07948104593738291,-0.07948104593738291,0.31776402512116564,False,0.020080541782710792,False
right ear wenli mean960,0.08096310044438329,0.08096310044438329,0.30879519155647767,False,0.019962441949537446,False
face wenli variance920,0.14250472239759837,0.14250472239759837,0.07223877398251387,False,0.019704887004482474,False
face wenli variance1307,0.10859295741892684,-0.10859295741892684,0.17166291267725556,False,0.01940659154993707,False
right ear wenli mean1403,0.07793485236480328,0.07793485236480328,0.32729942406164847,False,0.019195524022692867,False
face wenli variance976,0.08045209940273537,0.08045209940273537,0.31186866528065704,False,0.019166623184968534,False
face wenli variance424,0.11709781196238907,0.11709781196238907,0.1403072879040283,False,0.019064780583125884,False
right ear wenli mean872,0.0907815032001524,0.0907815032001524,0.25359503809850614,False,0.018711754964523708,False
right ear wenli mean328,0.08116826331812571,-0.08116826331812571,0.30756681575581896,False,0.01860145918230449,False
face wenli mean1403,0.12489795151853654,0.12489795151853654,0.11557320434839223,False,0.018578149158994473,False
face wenli mean259,0.10394893130013325,0.10394893130013325,0.19083982648911416,False,0.018547372643843207,False
left ear wenli variance176,0.07931316747207084,0.07931316747207084,0.31879051828199884,False,0.01833177839332234,False
left ear wenli variance392,0.111286637520932,0.111286637520932,0.16121540562839248,False,0.01823850616310163,False
face wenli variance463,0.1104668634375922,0.1104668634375922,0.1643432794670303,False,0.017701387032232452,False
left ear wenli variance216,0.1098931872212831,0.1098931872212831,0.16655893771577238,False,0.017533317899137923,False
face wenli variance491,0.08586401910621012,-0.08586401910621012,0.2803280067224995,False,0.016678035383880907,False
left ear wenli variance230,0.09454576525363717,-0.09454576525363717,0.23435749162895034,False,0.0166054119289043,False
face wenli variance927,0.14711133535659585,0.14711133535659585,0.06340362830391859,False,0.016556733075078656,False
left ear wenli mean366,0.09376192676294931,-0.09376192676294931,0.23827644314375782,False,0.01653028382987931,False
left ear wenli variance264,0.08279635310603546,0.08279635310603546,0.2979326410252775,False,0.016463111418956844,False
left ear wenli mean1304,0.11016028178703877,-0.11016028178703877,0.16552461079784234,False,0.016204481160326578,False
face wenli variance195,0.10949707128030006,-0.10949707128030006,0.16810175189608048,False,0.016117918417513977,False
face wenli variance211,0.0790129015715756,-0.0790129015715756,0.3206318510603766,False,0.016027938952534182,False
face wenli variance624,0.16199379759741922,0.16199379759741922,0.04070239538101807,False,0.015780217923563544,False
right ear wenli variance151,0.13953290018219547,-0.13953290018219547,0.07845063862934455,False,0.01576783447368002,False
right ear wenli variance143,0.09536715923011094,-0.09536715923011094,0.23029953969112266,False,0.015721318489663627,False
face wenli variance440,0.14630294361131352,0.14630294361131352,0.06488668180933528,False,0.015713028168873766,False
right ear wenli mean1264,0.09907997057105355,-0.09907997057105355,0.21257482200924874,False,0.015433897577243005,False
face wenli variance263,0.11969650380378137,-0.11969650380378137,0.13165473928223928,False,0.015067961430057064,False
right ear wenli variance199,0.20046831543522686,-0.20046831543522686,0.011030859975945845,False,0.014958921164766492,False
face wenli variance1112,0.10761472026793223,0.10761472026793223,0.17557869597578424,False,0.014937432237027704,False
right ear wenli variance1327,0.11397344815855782,-0.11397344815855782,0.1512758270852113,False,0.014929497463467722,False
left ear wenli variance448,0.09165937411354161,0.09165937411354161,0.24901410363624907,False,0.01447091958301483,False
left ear wenli mean1206,0.08839784217132358,0.08839784217132358,0.2663254338743897,False,0.014375338081183298,False
right ear wenli mean382,0.09463632339132769,0.09463632339132769,0.23390766030967597,False,0.014229127571921518,False
left ear wenli variance1240,0.18425386526816034,0.18425386526816034,0.01968073655736528,False,0.013253022896368538,False
right ear wenli variance1448,0.08096879077163575,-0.08096879077163575,0.3087610784892041,False,0.013098872780917814,False
right ear wenli mean326,0.13476917182386888,0.13476917182386888,0.08929951235469286,False,0.01290189832649391,False
left ear wenli variance464,0.1337079707281002,0.1337079707281002,0.0918722254944882,False,0.01289872441706974,False
right ear wenli mean1168,0.10015978586393476,0.10015978586393476,0.20760805043383418,False,0.012842019989960818,False
left ear wenli mean1240,0.14055925240373818,-0.14055925240373818,0.07625835910636988,False,0.012565322626866493,False
right ear wenli variance1272,0.08249929111095297,0.08249929111095297,0.2996754354945751,False,0.012551883757729199,False
face wenli variance575,0.14430751066537373,0.14430751066537373,0.06866905091801692,False,0.012537297649393153,False
face wenli mean1283,0.11022682276459202,0.11022682276459202,0.16526767651515076,False,0.012333404320499897,False
right ear wenli variance1295,0.09549354782328397,-0.09549354782328397,0.2296795588423667,False,0.01221570696475105,False
face wenli variance1187,0.08894856913689583,-0.08894856913689583,0.2633461731852854,False,0.012146557364351107,False
face wenli variance1111,0.08007302669287458,0.08007302669287458,0.31416150014735067,False,0.012033149020244549,False
face wenli variance943,0.1447228568204168,0.1447228568204168,0.06786730974019643,False,0.012005346961192487,False
left ear wenli variance1280,0.0860167067122779,0.0860167067122779,0.2794704461442122,False,0.011964016763612362,False
right ear wenli variance1102,0.08936723062309701,0.08936723062309701,0.2610966419676073,False,0.011574545124140467,False
right ear wenli variance1270,0.10276696575818096,0.10276696575818096,0.19596089166991817,False,0.011542008216603561,False
face wenli variance616,0.13079422015798947,0.13079422015798947,0.09924020694635688,False,0.011460093603438803,False
right ear wenli variance1206,0.09137565351290863,0.09137565351290863,0.2504883133498604,False,0.011401853232698711,False
face wenli variance144,0.08270660949881328,-0.08270660949881328,0.29845843765354757,False,0.011211514057984262,False
face wenli mean271,0.09049012229477282,0.09049012229477282,0.2551282969241105,False,0.011058533358128786,False
left ear wenli variance174,0.13597045573999017,-0.13597045573999017,0.08645689522553163,False,0.010358926592345385,False
face guangpu variance98,0.18072975446169084,-0.18072975446169084,0.022195093277649135,False,0.009452621908467407,False
right ear wenli variance1358,0.08022703672373882,0.08022703672373882,0.3132286439157867,False,0.00939231762941306,False
face wenli variance1323,0.09729954530914434,-0.09729954530914434,0.22094874148425392,False,0.009326706157551268,False
face wenli mean400,0.09102086647976772,-0.09102086647976772,0.2523402614946808,False,0.009088749669595275,False
left ear wenli variance577,0.0815534951023722,0.0815534951023722,0.30526897682936743,False,0.00898286596996134,False
face wenli variance1008,0.08054209885268579,0.08054209885268579,0.311325909337361,False,0.008883364776710367,False
left ear wenli variance1238,0.08244334026865643,-0.08244334026865643,0.3000044384063817,False,0.008795926173646773,False
right ear wenli variance611,0.09134330030501941,-0.09134330030501941,0.25065680289739506,False,0.008765607362125838,False
right ear wenli mean1272,0.09727527301605136,-0.09727527301605136,0.22106449764656064,False,0.008716951329046596,False
face wenli mean1405,0.09680879064666936,-0.09680879064666936,0.22329755318422692,False,0.008198615498211215,False
right ear wenli mean688,0.08565015716107212,0.08565015716107212,0.2815321230057106,False,0.008116909010254414,False
face wenli variance1472,0.08179891757658132,-0.08179891757658132,0.3038109731095071,False,0.007933221170316473,False
left ear wenli variance1486,0.10982576716029988,-0.10982576716029988,0.1668207818379271,False,0.007894388475233827,False
right ear wenli variance318,0.11056670015670482,0.11056670015670482,0.16395994598227084,False,0.007833355757951299,False
left ear wenli variance1446,0.09116287272973897,-0.09116287272973897,0.25159787352383045,False,0.007793722699017014,False
face wenli variance984,0.08398840885582154,0.08398840885582154,0.29100669611822405,False,0.007618483824328948,False
right ear wenli variance406,0.09258272167120854,0.09258272167120854,0.24425803680647487,False,0.0073692278719481585,False
left ear wenli variance1192,0.1118321587378898,0.1118321587378898,0.1591587691059264,False,0.007337688231033868,False
left ear wenli variance1454,0.10929335736829897,-0.10929335736829897,0.16889931417940757,False,0.00729985280257317,False
right ear wenli variance382,0.15482265968839548,0.15482265968839548,0.050604635473082145,False,0.007285220784264634,False
right ear wenli variance159,0.12610836011807022,-0.12610836011807022,0.11205997297600535,False,0.0071818197939150785,False
left ear wenli variance1102,0.12786697372303563,-0.12786697372303563,0.10710490406602152,False,0.0070775664084119505,False
right ear wenli variance78,0.09852776138448839,0.09852776138448839,0.21514738735822203,False,0.006990127805348134,False
right ear wenli mean816,0.07891491297089134,0.07891491297089134,0.32123423748440383,False,0.0067634360942814276,False
face wenli variance712,0.15678847928272593,0.15678847928272593,0.04770940289406579,False,0.0065522236955690705,False
right ear wenli variance1259,0.11725508862390197,-0.11725508862390197,0.13977160351252566,False,0.006072267071310922,False
right ear wenli mean744,0.0791252544176359,0.0791252544176359,0.31994206066424047,False,0.00594390839975345,False
right ear wenli variance167,0.13371280853226483,-0.13371280853226483,0.09186036458881987,False,0.00589701085285621,False
right ear wenli variance1022,0.08704215547995744,0.08704215547995744,0.273756868921179,False,0.00557271709106244,False
face wenli variance600,0.12526506270226373,0.12526506270226373,0.11449871270837432,False,0.005396643164988557,False
face wenli variance203,0.08764073349197957,-0.08764073349197957,0.2704585281655275,False,0.005311352638521782,False
face wenli mean1519,0.10778331238089293,0.10778331238089293,0.17489917351849787,False,0.004828287909133477,False
left ear wenli variance1320,0.11198584077985055,0.11198584077985055,0.15858294698207753,False,0.004746460014805276,False
right ear wenli variance400,0.09163093536506789,0.09163093536506789,0.249161599603622,False,0.0047396786017741555,False
face wenli variance952,0.13601944211811307,0.13601944211811307,0.08634253211592807,False,0.004661570945541316,False
face wenli variance928,0.17977121244833974,0.17977121244833974,0.022925091084001304,False,0.004645137725983073,False
face wenli mean931,0.07913090617832362,0.07913090617832362,0.3199073870868951,False,0.004516238847084297,False
face wenli variance183,0.1335108614166583,-0.1335108614166583,0.09235651817210627,False,0.004251399519744847,False
left ear wenli mean1208,0.11619356575123233,-0.11619356575123233,0.14341754455433275,False,0.003983993314838674,False
right ear wenli mean1574,0.14567929335287397,0.14567929335287397,0.06605008173832604,False,0.003677424883270275,False
face wenli variance480,0.1074084975664989,0.1074084975664989,0.17641254095151432,False,0.0033370014178466523,False
face wenli variance163,0.13097540309478975,-0.13097540309478975,0.0987688343428341,False,0.002979665228709294,False
face wenli mean111,0.10793008859077634,0.10793008859077634,0.1743091663597145,False,0.0026980570289023564,False
right ear wenli mean147,0.10393316556762792,0.10393316556762792,0.19090748584511688,False,0.0026907032715488555,False
face wenli variance551,0.10917893151451688,0.10917893151451688,0.16934853549055845,False,0.002660403709998871,False
left ear wenli mean206,0.08127736981827845,-0.08127736981827845,0.3069148669028167,False,0.0023516647569590265,False
right ear wenli variance1311,0.09602532805280437,-0.09602532805280437,0.22708387425915982,False,0.0023395960454410947,False
left ear wenli mean280,0.11793865308319834,-0.11793865308319834,0.1374614791599736,False,0.002290860059205313,False
left ear wenli variance1462,0.10205379514475249,-0.10205379514475249,0.1990986738373095,False,0.002254264710110032,False
left ear wenli variance1128,0.08858852980879212,0.08858852980879212,0.2652912840354735,False,0.0022382303972006135,False
face wenli variance944,0.16341943449950402,0.16341943449950402,0.03894148277156258,False,0.002229168278763627,False
right ear wenli mean1280,0.09736699013071243,-0.09736699013071243,0.22062731866753874,False,0.0015387048732751207,False
right ear wenli variance294,0.10606752297939487,0.10606752297939487,0.1819060899080405,False,0.00142483372442892,False
right ear wenli mean1459,0.0953239943917622,0.0953239943917622,0.2305115482526855,False,0.0013165392411349508,False
right ear wenli mean1584,0.08217495894794083,-0.08217495894794083,0.3015858932482211,False,0.00126934685019231,False
face wenli mean865,0.20369043326008807,0.20369043326008807,0.00978194210898678,False,0.00098563495342896,False
left ear wenli variance958,0.08160276501178225,-0.08160276501178225,0.3049759063442953,False,0.0009228704099659701,False
right ear wenli variance366,0.13916884779307578,0.13916884779307578,0.07924035039529426,False,0.0009133746973450929,False
face wenli mean189,0.11720740599793708,-0.11720740599793708,0.13993384563627675,False,0.0008746894242850356,False
face wenli variance543,0.08154290810535997,0.08154290810535997,0.3053319752408662,False,0.0008575017508474225,False
face wenli variance1064,0.08357271065914962,0.08357271065914962,0.293409656542598,False,0.0007911965282918487,False
right ear wenli variance1263,0.10584479009180921,-0.10584479009180921,0.18283059781535432,False,0.0007524393296083343,False
face wenli mean149,0.1113225527605317,-0.1113225527605317,0.161079395361397,False,0.0007168784852236154,False
right ear wenli variance224,0.1333723792883521,-0.1333723792883521,0.09269797820828972,False,0.0006970372153827231,False
left ear wenli mean1310,0.08856984484432653,0.08856984484432653,0.2653924963241414,False,0.0006095552529008508,False
left ear wenli variance942,0.08231108005285052,-0.08231108005285052,0.300783104822918,False,0.0005644614578070861,False
right ear wenli variance1431,0.11141466397084623,-0.11141466397084623,0.16073096457765076,False,0.0004758348066800089,False
face wenli variance527,0.12121213101587305,0.12121213101587305,0.1268009435065711,False,0.0003540121848577549,False
left ear wenli variance1302,0.07772883634480948,-0.07772883634480948,0.3285836773616284,False,0.0,False
face wenli mean99,0.08363466681802052,0.08363466681802052,0.2930506826397947,False,0.0,False
face wenli mean95,0.11495775153752365,0.11495775153752365,0.1477526258131066,False,0.0,False
face wenli mean91,0.12289419656084954,0.12289419656084954,0.12157693302901815,False,0.0,False
right ear wenli mean432,0.08098567106766472,0.08098567106766472,0.30865989695320223,False,0.0,False
right ear wenli mean952,0.09013118781183546,0.09013118781183546,0.2570257852828262,False,0.0,False
face wenli mean1059,0.07809690413236392,0.07809690413236392,0.326291504299158,False,0.0,False
right ear wenli mean984,0.09554870389755002,0.09554870389755002,0.22940936766311182,False,0.0,False
right ear wenli mean1008,0.09637193962469506,0.09637193962469506,0.22540321319512197,False,0.0,False
right ear wenli mean1016,0.1129838897391957,0.1129838897391957,0.15488137135750127,False,0.0,False
right ear wenli mean544,0.08533873150889687,0.08533873150889687,0.2832917645425698,False,0.0,False
right ear wenli mean552,0.09846695266760186,0.09846695266760186,0.21543202798712882,False,0.0,False
right ear wenli variance1038,0.08448792346665561,0.08448792346665561,0.28813661836040566,False,0.0,False
face wenli mean107,0.1246007604481047,0.1246007604481047,0.11644878577979607,False,0.0,False
face wenli variance1479,0.09035811019342155,-0.09035811019342155,0.2558250473203283,False,0.0,False
face wenli variance167,0.16504854474843578,-0.16504854474843578,0.03700815513957406,False,0.0,False
face wenli mean163,0.16568136710972617,0.16568136710972617,0.036279309496520945,False,0.0,False
right ear wenli variance1062,0.08876284467594071,0.08876284467594071,0.26434832810582953,False,0.0,False
right ear wenli variance1094,0.09739943725072998,0.09739943725072998,0.22047280331178976,False,0.0,False
right ear wenli variance1086,0.09480651648316243,0.09480651648316243,0.2330638972524761,False,0.0,False
face wenli variance175,0.12256703698424455,-0.12256703698424455,0.12257971728312289,False,0.0,False
right ear wenli variance414,0.11495943181037983,0.11495943181037983,0.14774666503572295,False,0.0,False
face wenli mean171,0.09565035888935097,0.09565035888935097,0.2289119808742004,False,0.0,False
face wenli mean179,0.10088499001180659,0.10088499001180659,0.2043195091432216,False,0.0,False
right ear wenli mean342,0.09650498999607893,0.09650498999607893,0.2247604169160768,False,0.0,False
right ear wenli mean358,0.08005496447791419,0.08005496447791419,0.31427102348517744,False,0.0,False
face wenli variance199,0.09809115488528608,-0.09809115488528608,0.21719706919464138,False,0.0,False
face wenli variance191,0.18446163725281955,-0.18446163725281955,0.01954051546562981,False,0.0,False
face wenli variance1480,0.0902264993936766,-0.0902264993936766,0.2565209821446922,False,0.0,False
right ear wenli mean776,0.10252340456840739,0.10252340456840739,0.19702844182747906,False,0.0,False
right ear wenli mean896,0.08393929568779213,0.08393929568779213,0.29128991191655945,False,0.0,False
face wenli mean115,0.10386631758829132,0.10386631758829132,0.19119456125820863,False,0.0,False
right ear wenli variance102,0.08394757038582315,0.08394757038582315,0.2912421822230218,False,0.0,False
right ear wenli mean110,0.09017270845449919,0.09017270845449919,0.2568057936955949,False,0.0,False
right ear wenli mean118,0.08009632668348433,0.08009632668348433,0.3140202533886089,False,0.0,False
right ear wenli mean1526,0.11535297373948333,0.11535297373948333,0.1463555805579108,False,0.0,False
right ear wenli variance183,0.20730390299974388,-0.20730390299974388,0.00853128900461243,False,0.0,False
right ear wenli mean1550,0.11705880387361661,0.11705880387361661,0.14044039123860869,False,0.0,False
